Country,Happiness Rank,Happiness Score,Whisker.high,Whisker.low,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Peru,63,5.715000153,5.811946779,5.618053527,1.035225272,0.630166113,0.450002879,0.047049087,0.126819715
Mauritius,64,5.629000187,5.729862192,5.528138182,1.189395547,0.638007462,0.491247326,0.042181555,0.360933751
Cyprus,65,5.620999813,5.714692699,5.527306927,1.355938077,0.844714701,0.355111539,0.041237976,0.271254301
Estonia,66,5.611000061,5.688139874,5.533860248,1.32087934,0.695168316,0.47913143,0.183248922,0.098890811
Belarus,67,5.568999767,5.646114244,5.491885291,1.15655756,0.637714267,0.295400262,0.156313822,0.155137509
Libya,68,5.525000095,5.676953807,5.373046384,1.101803064,0.52016902,0.46573323,0.09261021,0.152073666
Turkey,69,5.5,5.594864963,5.405135037,1.198274374,0.637605608,0.3007406,0.09967158,0.046693042
Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,0.579250693,0.473507792,0.091065913,0.224150658
"Hong Kong S.A.R., China",71,5.472000122,5.549594173,5.394406071,1.551674843,0.943062425,0.490968645,0.293933749,0.374465793
Philippines,72,5.429999828,5.545335054,5.314664602,0.857699215,0.468009055,0.585214674,0.099331893,0.193513423
Serbia,73,5.394999981,5.491569656,5.298430306,1.069317579,0.650784671,0.208715528,0.040903781,0.220125884
Jordan,74,5.335999966,5.448410022,5.223589909,0.991012394,0.604590058,0.418421149,0.119803272,0.17217046
Hungary,75,5.323999882,5.403039709,5.244960054,1.286011934,0.687763453,0.175863519,0.036636937,0.078401662
Jamaica,76,5.31099987,5.581398728,5.040601012,0.925579309,0.641022384,0.474307239,0.055267781,0.233818337
Croatia,77,5.293000221,5.391777205,5.194223238,1.222556233,0.701288521,0.255772293,0.04310311,0.248002976
Kosovo,78,5.278999805,5.364847995,5.193151615,0.951484382,0.54145205,0.260287941,0.057471618,0.319931448
China,79,5.272999763,5.31927809,5.226721437,1.081165791,0.741415501,0.472787708,0.022794275,0.028806841
Pakistan,80,5.269000053,5.359983641,5.178016465,0.726883531,0.402047783,0.235215262,0.124348067,0.315446019
Indonesia,81,5.262000084,5.352888598,5.17111157,0.995538592,0.492345721,0.443323463,0.015317135,0.611704588
Venezuela,82,5.25,5.370031946,5.129968054,1.128431201,0.617144227,0.153997123,0.064491123,0.06501963
Montenegro,83,5.236999989,5.341044441,5.132955537,1.121129036,0.667464674,0.194989055,0.088174194,0.197911024
Morocco,84,5.235000134,5.318340965,5.151659302,0.878114581,0.597710669,0.408158332,0.087763183,0.032209955
Azerbaijan,85,5.234000206,5.299286535,5.168713877,1.153601766,0.540775776,0.398155838,0.180987507,0.04526934
Dominican Republic,86,5.230000019,5.349060885,5.110939153,1.079373837,0.574873745,0.552589834,0.113945253,0.18696785
Greece,87,5.227000237,5.325246169,5.128754304,1.289487481,0.810198903,0.095731251,0.043289777,0
Lebanon,88,5.224999905,5.318882288,5.131117521,1.074987531,0.735081077,0.288515985,0.03751383,0.264450759
Portugal,89,5.195000172,5.285041733,5.10495861,1.315175295,0.795843542,0.4984653,0.015869452,0.095102713
Bosnia and Herzegovina,90,5.18200016,5.276335687,5.087664634,0.982409418,0.705186307,0.204403177,0,0.328867495
Honduras,91,5.181000233,5.301582797,5.060417669,0.730573118,0.58256948,0.34807986,0.073345453,0.236188874
Macedonia,92,5.175000191,5.27217264,5.077827742,1.064577937,0.644948184,0.325905979,0.060277794,0.253760964
Somalia,93,5.151000023,5.24248371,5.059516336,0.022643184,0.113989137,0.602126956,0.282410324,0.291631311
Vietnam,94,5.073999882,5.147280765,5.000718999,0.788547575,0.652168989,0.571055591,0.087633237,0.234968051
Nigeria,95,5.073999882,5.209500135,4.938499628,0.783756256,0.05691573,0.394952565,0.026121566,0.230947196
Tajikistan,96,5.040999889,5.111425596,4.970574183,0.524713635,0.529235125,0.471566707,0.146377146,0.248997644
Bhutan,97,5.011000156,5.079334562,4.942665751,0.885416389,0.495879292,0.501537681,0.17338039,0.474054545
